This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:  2602896
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   183883

Total number of variables............................:    30328
                     variables with only lower bounds:     3200
                variables with lower and upper bounds:     3192
                     variables with only upper bounds:        0
Total number of equality constraints.................:    27136
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 124  1.2103536e+01 3.04e-03 1.28e+00  -3.8 7.98e-02  -0.9 1.00e+00 8.88e-01h  1
 125  1.2094785e+01 3.36e-03 4.40e+00  -3.8 3.20e-01  -1.4 2.47e-01 9.77e-02h  2
 126  1.2090947e+01 3.35e-03 1.44e+01  -3.8 5.43e-01  -1.8 2.09e-01 2.00e-02h  3
 127  1.2047616e+01 2.71e-03 1.20e+01  -3.8 1.11e-01  -1.4 8.59e-01 4.65e-01h  1
 128  1.2047149e+01 2.71e-03 1.20e+01  -3.8 2.26e+01  -1.9 8.65e-04 1.19e-03h  2
 129  1.2022103e+01 1.93e-03 1.83e+01  -3.8 1.72e-01  -1.5 1.95e-01 3.43e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.2000227e+01 1.22e-03 1.09e+01  -3.8 3.73e-02  -1.0 6.08e-01 4.58e-01f  1
 131  1.1993537e+01 1.14e-03 4.44e+01  -3.8 9.95e-02  -1.5 6.15e-01 1.14e-01f  1
 132  1.1945019e+01 1.03e-03 1.51e-01  -3.8 5.03e-02  -2.0 1.00e+00 1.00e+00f  1
 133  1.1936094e+01 4.06e-04 1.01e+00  -3.8 2.50e-02  -1.6 9.26e-01 8.43e-01h  1
 134  1.1935149e+01 1.57e-04 1.60e-02  -3.8 1.19e-02  -1.1 1.00e+00 1.00e+00f  1
 135  1.1924204e+01 2.99e-04 1.38e+01  -3.8 3.21e-02  -1.6 1.00e+00 5.59e-01h  1
 136  1.1911214e+01 1.12e-03 1.98e+01  -3.8 9.46e-02  -2.1 1.82e-01 4.41e-01f  1
 137  1.1918973e+01 1.13e-03 9.40e+00  -3.8 7.26e-02  -1.7 3.83e-01 3.24e-01h  1
 138  1.1880365e+01 2.15e-03 7.28e+00  -3.8 8.27e-02  -2.1 5.13e-01 7.15e-01f  1
 139  1.1887009e+01 9.32e-04 9.34e+00  -3.8 6.55e-02  -1.7 1.00e+00 7.05e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.1872584e+01 1.43e-03 9.81e+00  -3.8 3.82e-01  -2.2 1.06e-01 9.83e-02h  1
 141  1.1821438e+01 9.58e-04 1.75e+01  -3.8 6.92e-02  -2.7 7.80e-01 3.91e-01h  1
 142  1.1823589e+01 6.53e-04 5.27e-02  -3.8 3.58e-02  -2.3 1.00e+00 1.00e+00f  1
 143  1.1713259e+01 7.29e-04 1.82e+02  -3.8 5.07e-02  -2.7 1.00e+00 1.00e+00h  1
 144  1.1697151e+01 7.29e-04 8.55e+00  -3.8 5.64e+00  -2.3 3.71e-02 6.29e-04f  7
 145  1.1814387e+01 1.95e-05 2.59e-02  -3.8 8.87e-03  -1.9 1.00e+00 1.00e+00h  1
 146  1.1820604e+01 1.99e-05 1.08e+00  -3.8 1.95e-02  -2.4 1.00e+00 2.50e-01h  3
 147  1.1703238e+01 7.96e-04 7.45e-02  -3.8 5.27e-02  -2.8 1.00e+00 1.00e+00h  1
 148  1.1804151e+01 2.21e-04 2.00e-02  -3.8 2.42e-02  -2.4 1.00e+00 1.00e+00h  1
 149  1.1806610e+01 2.28e-04 2.89e+00  -3.8 1.53e-01  -2.9 1.00e+00 6.25e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.1811275e+01 2.02e-04 9.48e-01  -3.8 2.85e-02  -2.5 1.00e+00 1.25e-01h  4
 151  1.1811771e+01 2.02e-04 5.54e+00  -3.8 2.58e-01  -2.9 1.00e+00 1.56e-02h  7
 152  1.1813853e+01 1.91e-04 1.23e+00  -3.8 3.65e-02  -2.5 1.00e+00 6.25e-02h  5
 153  1.1813994e+01 1.91e-04 6.16e+00  -3.8 4.30e-01  -3.0 6.30e-01 5.17e-03h  8
 154  1.1814993e+01 1.85e-04 1.44e+00  -3.8 4.46e-02  -2.6 1.00e+00 3.12e-02h  6
 155  1.1815002e+01 1.85e-04 6.65e+00  -3.8 1.02e+00  -3.0 2.66e-01 5.51e-04h 10
 156  1.1815034e+01 1.85e-04 1.70e+00  -3.8 5.39e-02  -2.6 1.00e+00 9.77e-04h 11
 157  1.1815037e+01 1.85e-04 5.68e-01  -3.8 1.52e-02  -2.2 1.00e+00 1.22e-04h 14
 158  1.1815039e+01 1.85e-04 1.72e+00  -3.8 5.77e-02  -2.7 1.00e+00 6.10e-05h 15
 159  1.1835742e+01 1.16e-04 1.08e-02  -3.8 1.73e-02  -2.2 1.00e+00 1.00e+00w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.1791009e+01 1.48e-03 1.52e-01  -3.8 6.64e-02  -2.7 1.00e+00 1.00e+00w  1
 161  1.1837652e+01 3.14e-04 2.85e-02  -3.8 3.05e-02  -2.3 1.00e+00 1.00e+00w  1
 162  1.1835742e+01 1.16e-04 1.08e-02  -3.8 8.05e-02  -2.8 1.00e+00 1.00e+00s 21
 163r 1.1835742e+01 1.16e-04 9.99e+02  -3.8 0.00e+00  -2.3 0.00e+00 0.00e+00R  1
 164r 1.1750834e+01 2.92e-05 9.02e+02  -3.8 2.15e-01    -  9.74e-02 1.29e-03f  1
 165  1.1740032e+01 5.34e-04 2.55e+02  -3.8 3.02e+01    -  1.53e-01 2.34e-03h  7
 166  1.1724156e+01 2.94e-04 1.40e+02  -3.8 4.33e-02   0.8 4.72e-01 4.50e-01h  1
 167  1.1708075e+01 2.34e-04 4.07e+01  -3.8 2.06e-02   1.2 8.45e-02 1.00e+00f  1
 168  1.1828377e+01 2.05e-05 2.67e-02  -3.8 4.77e-03   0.7 1.00e+00 1.00e+00h  1
 169  1.1839079e+01 1.70e-06 3.19e-03  -3.8 1.72e-03   0.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.1839095e+01 7.20e-07 7.86e-04  -3.8 1.27e-03  -0.2 1.00e+00 1.00e+00h  1
 171  1.1215315e+01 1.39e-05 6.28e-03  -4.0 3.67e-03  -0.7 1.00e+00 1.00e+00f  1
 172  1.1206668e+01 1.73e-05 3.42e-03  -4.0 4.41e-03  -1.2 1.00e+00 1.00e+00h  1
 173  1.1201692e+01 2.15e-05 2.92e-03  -4.0 6.10e-03  -1.6 1.00e+00 1.00e+00h  1
 174  1.1194972e+01 1.17e-04 1.12e-02  -4.0 1.57e-02  -2.1 1.00e+00 1.00e+00h  1
 175  1.1156204e+01 1.07e-03 1.07e-01  -4.0 5.37e-02  -2.6 1.00e+00 1.00e+00h  1
 176  1.1042040e+01 1.38e-02 1.76e+02  -4.0 1.46e+00  -3.1 9.83e-02 1.14e-01h  1
 177  1.1134636e+01 1.38e-02 1.68e+00  -4.0 3.92e+01  -0.8 4.48e-04 2.60e-04h  1
 178  1.1049867e+01 8.84e-03 1.76e+02  -4.0 3.32e-02  -0.4 7.23e-01 3.60e-01h  2
 179  1.1093759e+01 8.83e-03 3.52e+00  -4.0 4.48e-01   0.0 1.58e-02 1.50e-03h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.1061411e+01 5.94e-03 1.76e+02  -4.0 3.00e-02  -0.5 4.32e-01 3.27e-01h  1
 181  1.1122135e+01 5.93e-03 3.01e+00  -4.0 1.77e+00  -0.9 3.91e-03 1.19e-03h  5
 182  1.1138151e+01 5.81e-03 2.99e+00  -4.0 2.51e-01  -1.4 6.95e-02 2.00e-02h  4
 183  1.1115995e+01 2.22e-03 6.09e-01  -4.0 1.90e-02  -1.0 1.00e+00 6.19e-01h  1
 184  1.1138860e+01 8.15e-05 5.13e-02  -4.0 1.03e-02  -1.5 1.00e+00 1.00e+00h  1
 185  1.1164366e+01 1.01e-04 3.20e-01  -4.0 2.14e-02  -1.9 1.00e+00 5.00e-01h  2
 186  1.1166895e+01 9.83e-05 1.19e+00  -4.0 4.05e-02  -2.4 1.00e+00 1.25e-01h  4
 187  1.1056131e+01 2.51e-03 2.42e-01  -4.0 8.45e-02  -2.9 1.00e+00 1.00e+00h  1
 188  1.1186340e+01 3.10e-05 1.02e-02  -4.0 9.97e-03  -1.6 1.00e+00 1.00e+00h  1
 189  1.1186035e+01 3.68e-05 3.54e-03  -4.0 1.15e-02  -2.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.1185036e+01 4.23e-05 6.37e-01  -4.0 3.03e-02  -2.5 1.00e+00 2.50e-01h  3
 191  1.1040316e+01 1.36e-03 1.34e-01  -4.0 7.43e-02  -3.0 1.00e+00 1.00e+00h  1
 192  1.1180891e+01 6.24e-06 2.08e-03  -4.0 6.97e-03  -1.7 1.00e+00 1.00e+00h  1
 193  1.1181855e+01 5.33e-06 2.76e-01  -4.0 9.63e-03  -2.2 1.00e+00 2.50e-01h  3
 194  1.1177677e+01 3.31e-05 3.93e-01  -4.0 2.54e-02  -2.6 1.00e+00 5.00e-01h  2
 195  1.1028299e+01 7.16e-04 1.66e+02  -4.0 6.10e-02  -3.1 1.00e+00 1.00e+00h  1
 196  1.1103538e+01 7.04e-04 7.31e+00  -4.0 3.42e+00  -1.8 4.02e-02 1.77e-03h  6
 197  1.1140451e+01 1.08e-05 1.37e-02  -4.0 5.69e-03  -1.3 1.00e+00 1.00e+00h  1
 198  1.1182417e+01 2.50e-06 3.41e-04  -4.0 3.40e-03  -1.8 1.00e+00 1.00e+00h  1
 199  1.1182203e+01 2.86e-06 3.24e-01  -4.0 9.69e-03  -2.3 1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.1182164e+01 2.88e-06 1.26e+00  -4.0 2.68e-02  -2.8 1.00e+00 3.12e-02h  6
 201  1.1130697e+01 2.16e-04 1.57e+00  -4.0 6.64e-02  -3.3 1.00e+00 5.00e-01h  2
